export_value,balance_value
0,-45436
113032,-1011656
8056,-497341
181421,-4039790
238392,-959135
0,-30134
0,-17573
55261,-119131
21456,-273587
0,-263885
4038,-1201593
23799,-1196705
0,-6653
0,-13158
0,-20500
0,-135336
0,-816
0,-29984
203,-219378
2148,-104256
72005,-1347837
6867,-284400
591,-23305
0,-31399
0,-74975
0,-47795
41353,-483054
0,-27296
31,-51456
0,-327884
32158,-85716
0,-48314
29,-10177
331234,-352043
3534,5076
34659,5990
181025,160470
0,-20664
452529,-122543
13180,-36455
23,-482
724,-20663
0,-764
74,-11538
32,-14831
1129,-4005
10004,-70588
1079,-852931
36866,-370322
4252,-277080
7284,-11587
0,-277353
3978,-31808
10530,-1002919
48773,-1184533
29716,-58521
6016,-70223
26306,-716478
3559,-8110
3119,-23072
11018,-11877
0,-1785
213,-20632
43280,-1083
26110,-13334
0,-20024
14156,-166754
3767,-24472
0,-17028
845,-84920
0,-82813
2659,-21624
0,-39699
403,-6836
0,-32709
0,-22833
0,-12800
0,-175818
0,-32815
33,-10384
0,-7443
0,-3653
0,-1096
0,-22666
0,-4401
0,-2281
0,-574
0,-961
0,1732
0,-41213
0,-195
0,607
0,-17190
0,-13714
0,-8
1073,-1072
0,-5845
0,-239453
0,-31472
0,-6392
0,-15180
0,-22599
3680,-306669
9312,-626266
10309,-409699
0,-53
0,-3543
298,-633
13029,13437
6,-1765
12764,-51073
2674,2686
0,-124832
0,-61831
0,-59011
147,-29347
0,-53962
1470,-21090
81,-26093
0,-910
0,-20756
0,-149615
0,-13252
367,-491227
0,4847
0,-2619
0,-47459
75,-26338
0,-21545
0,-240
2971,10384
0,-139699
0,-30148
0,-48423
0,854
0,-6610
0,6316
0,-132526
0,7806
0,6775
0,1125
0,-489
0,-2024
0,-1060
0,-13088
0,-68245
0,13195
0,-41819
0,-4170
0,275
0,-1933
0,-138964
0,-139
0,-290
0,1079
0,-66553
0,-5939
0,-19644
558,-713812
2015,-7205
0,-52880
0,-11895
1046,-11535
0,-29491
0,-2002
0,-2275441
51,-52864
0,-39081
919,-433
0,-383258
535,-11270
0,-75827
0,-5110
0,-10
0,-21402
1854,-10347
0,-716
511,-18633
3486,-92653
50813,-143453
0,-4327
2791,-24468
0,-790
0,-5661
11426,1859
79170,36581
0,-3550
2817,-54857
